booking_id,customer_id,status,check_in,check_out,no_of_rooms,hotel_id,amount,discount,date_of_booking
170,9197,Cancelled,14-01-2022,15-01-2022,1,757,3137,796,01-01-2022
171,9197,Cancelled,16-01-2022,17-01-2022,1,757,3137,663,01-01-2022
583,11659,Stayed,01-01-2022,02-01-2022,2,16,6237,1320,01-01-2022
642,14499,Cancelled,16-01-2022,18-01-2022,10,346,59254,12535,01-01-2022
569,15037,No Show,02-01-2022,03-01-2022,1,207,1884,398,01-01-2022
882,22257,Cancelled,01-01-2022,02-01-2022,1,800,3444,875,01-01-2022
419,29124,Cancelled,02-01-2022,03-01-2022,1,380,2144,453,01-01-2022
436,33021,No Show,01-01-2022,02-01-2022,1,62,2252,476,01-01-2022
889,65208,Stayed,01-01-2022,02-01-2022,1,117,5589,1419,01-01-2022
17,66762,Stayed,07-01-2022,08-01-2022,1,109,3509,743,01-01-2022
153,77179,Stayed,02-01-2022,06-01-2022,1,106,11887,2515,01-01-2022
545,81709,Cancelled,02-01-2022,03-01-2022,1,449,2192,464,01-01-2022
416,86098,Stayed,01-01-2022,02-01-2022,1,579,2599,550,01-01-2022
641,86311,Stayed,01-01-2022,02-01-2022,1,346,3199,677,01-01-2022
491,102430,Cancelled,02-01-2022,03-01-2022,1,3,2469,523,01-01-2022
149,112913,Stayed,29-01-2022,02-02-2022,1,409,26255,5554,01-01-2022
799,118118,Stayed,01-01-2022,02-01-2022,1,689,4224,893,01-01-2022
445,145486,No Show,03-01-2022,04-01-2022,1,378,4939,1045,01-01-2022
798,159297,Cancelled,09-01-2022,13-01-2022,1,164,14815,3134,01-01-2022
895,166300,Stayed,01-01-2022,02-01-2022,1,501,5004,1058,01-01-2022
731,168983,Cancelled,01-01-2022,02-01-2022,1,417,2201,465,01-01-2022
856,169224,Cancelled,08-01-2022,09-01-2022,1,136,5654,1436,01-01-2022
568,182041,No Show,02-01-2022,03-01-2022,1,207,1884,398,01-01-2022
283,184360,Cancelled,02-01-2022,03-01-2022,1,473,2989,759,01-01-2022
519,189769,Stayed,01-01-2022,02-01-2022,1,420,2469,523,01-01-2022
570,196020,Cancelled,01-01-2022,02-01-2022,1,207,2339,495,01-01-2022
624,1864,Stayed,02-01-2022,03-01-2022,1,653,2534,536,02-01-2022
738,26536,Stayed,09-01-2022,13-01-2022,1,365,6235,0,02-01-2022
808,38803,Stayed,05-01-2022,06-01-2022,1,628,2597,550,02-01-2022
859,44047,Stayed,03-01-2022,07-01-2022,1,804,17155,3629,02-01-2022
516,44356,Stayed,02-01-2022,03-01-2022,1,33,2079,440,02-01-2022
